pollutant,abs_energy,auc,autocorr,average_power,calc_centroid,calc_max,calc_mean,calc_median,calc_min,calc_std,calc_var,dfa,distance,ecdf,ecdf_percentile,ecdf_percentile_count,ecdf_slope,entropy,fundamental_frequency,higuchi_fractal_dimension,hist_mode,human_range_energy,hurst_exponent,interq_range,kurtosis,lempel_ziv,lpcc,max_frequency,max_power_spectrum,maximum_fractal_length,mean_abs_deviation,mean_abs_diff,mean_diff,median_abs_deviation,median_abs_diff,median_diff,median_frequency,mfcc,mse,negative_turning,neighbourhood_peaks,petrosian_fractal_dimension,pk_pk_distance,positive_turning,power_bandwidth,rms,skewness,slope,spectral_centroid,spectral_decrease,spectral_distance,spectral_entropy,spectral_kurtosis,spectral_positive_turning,spectral_roll_off,spectral_roll_on,spectral_skewness,spectral_slope,spectral_spread,spectral_variation,spectrogram_mean_coeff,sum_abs_diff,wavelet_abs_mean,wavelet_energy,wavelet_entropy,wavelet_std,wavelet_var,zero_cross
CO,0.31515088264932767,10.625440837163458,3.0,0.0008634270757515827,185.06472083820483,0.03831247985363,0.029119189582571658,0.029091521243875183,0.0197092676535248,0.003625021853027513,1.3140783434927025e-05,1.077695695727746,365.0015280326977,0.015027322404371584,0.02900933932202555,182.5,106.53058093366309,0.9978327116816761,0.00273224043715847,1.8827893136562552,0.02808071314357214,0.0,0.7752834531535197,0.0045494204775119555,-0.09438657330036637,0.1830601092896175,0.8820558852644979,0.3825136612021858,31.0339788663005,0.017746882467137747,0.002859475222438498,0.002073907920214685,2.075736857440382e-05,0.0023430337767219693,0.0014282476156950025,9.58703458299806e-06,0.0,13.570885335222451,1.2527482183594416,59.0,14.0,1.021322736901369,0.018603212200105204,59.0,0.34972677595628415,0.029343959947162494,0.038424745582054,3.029207230341853e-06,0.08165160112747522,-6.2893113050539515,-1264.494865375527,0.8082977510708865,4.496213431183022,62.0,0.3825136612021858,0.0,1.5952968300808827,-0.043442195525742015,0.12693154601010204,0.6338738305220022,2.1733990548889098e-05,0.7569763908783601,0.0017157360423691378,0.008553456340791486,2.1319357131179464,0.00835706613927124,7.83468558950716e-05,0.0
NO2,4.22289088959477e-07,0.011825146356392896,2.0,1.1569564081081563e-09,182.82104586887485,5.864306149305776e-05,3.236163220180483e-05,3.313428404302006e-05,2.667410086587552e-06,1.0320856856918543e-05,1.0652008626100249e-10,0.7968093203639744,365.0000000178283,0.015027322404371584,3.178961037519912e-05,182.5,39901.284447629674,0.9993583051330969,0.00273224043715847,1.9043777173765866,3.345401836014616e-05,0.0,0.7565093727340347,1.4589790498575888e-05,-0.2048201268904153,0.1912568306010929,0.757156789747266,0.4453551912568306,26.5094724623197,-2.5159234213506765,8.31975349150436e-06,6.996266593569854e-06,4.19874793320335e-08,7.102229634862543e-06,4.957225428370293e-06,3.527475200826302e-08,0.07923497267759563,29.63666042738227,1.347769199737523,78.0,18.0,1.0275678387985863,5.5975651406470206e-05,78.0,0.38524590163934425,3.3967562836121956e-05,-0.06133222577012435,2.0371588370537747e-10,0.1391058412067093,-2.2678581986630078,-1.6904182559924588,0.841246754136529,2.386519947264977,57.0,0.4453551912568306,0.0,0.8392840184323057,-0.028616166005883237,0.1524973102387911,0.5436317864663303,1.7185063210055198e-10,0.0025536373066529965,1.433146236829756e-06,1.420382649066348e-05,2.16928884213208,1.410708997699501e-05,2.0644006223471918e-10,0.0
SO2,2.0667789202252974e-05,0.061630912430452135,2.0,5.662408000617253e-08,200.13823110966322,0.0006598872787435,0.0001325475174913721,0.00012325060715735,-0.0003625387034844,0.00019723216018676355,3.890052501193716e-08,0.81147605583895,365.000007665574,0.015027322404371584,0.00014228864876739757,182.5,2119.8603905683963,0.9993583051330969,0.00273224043715847,1.898469200465607,9.755298851815507e-05,0.0,0.7756642352388379,0.00023816875055452492,0.026293271357935133,0.19672131147540983,0.3294766735296505,0.4672131147540984,23.370859266920505,-1.2205972273338968,0.000152635663780505,0.0001470281588958988,1.078841032970957e-06,0.00011881140408145001,0.00010595007370284293,1.072728919854999e-05,0.15846994535519127,40.12210209679866,1.3154693362907508,75.0,12.0,1.0265647814982015,0.0010224259822279001,75.0,0.4344262295081967,0.00023763284580432642,0.1506079121847252,3.219652637538113e-07,0.18803577179355993,-0.4317390522287815,-14.359936955767196,0.8607658026281679,2.000402696685061,65.0,0.4672131147540984,0.0,0.492790472772042,-0.015989829041285823,0.1533428687168314,0.27362608674801603,6.820995931594048e-08,0.05366527799700306,7.119128518003009e-06,0.0002685732235364244,2.164427231411713,0.0002684472466486956,7.655131552848547e-08,85.0
