date,feature_index,CO
2025-09-25T00:00:00.000Z,0,0.02488553710281849
2025-09-27T00:00:00.000Z,0,
2025-09-23T00:00:00.000Z,0,0.038977839052677155
2025-09-24T00:00:00.000Z,0,0.04089496470987797
2025-09-21T00:00:00.000Z,0,0.027937784790992737
2025-09-22T00:00:00.000Z,0,0.0291023557074368
2025-09-28T00:00:00.000Z,0,0.03156856447458267
2025-09-26T00:00:00.000Z,0,0.033644940704107285
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,0.03921979914108912
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,
2025-10-25T00:00:00.000Z,0,0.03715834766626358
2025-10-24T00:00:00.000Z,0,
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,
2025-12-02T00:00:00.000Z,0,0.034088265150785446
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,0.02469351701438427
2025-12-03T00:00:00.000Z,0,0.03146520536392927
2025-12-07T00:00:00.000Z,0,
2026-02-03T00:00:00.000Z,0,
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,0.032725865021348
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,0.02876558108255267
2026-02-02T00:00:00.000Z,0,0.030525419861078262
2026-01-27T00:00:00.000Z,0,0.03402439132332802
2026-01-30T00:00:00.000Z,0,0.03437552973628044
2026-08-16T00:00:00.000Z,0,0.028189237229526043
2026-08-21T00:00:00.000Z,0,0.02714193146675825
2026-08-18T00:00:00.000Z,0,0.026636188849806786
2026-08-15T00:00:00.000Z,0,0.037142226472496986
2026-08-19T00:00:00.000Z,0,0.023677827790379524
2026-08-22T00:00:00.000Z,0,
2026-08-17T00:00:00.000Z,0,
2026-08-20T00:00:00.000Z,0,0.0260994047857821
2026-03-19T00:00:00.000Z,0,
2026-03-16T00:00:00.000Z,0,
2026-03-21T00:00:00.000Z,0,0.024485090126593907
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,0.02801344667871793
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,0.03086702525615692
2026-03-18T00:00:00.000Z,0,0.021505767479538918
2026-06-03T00:00:00.000Z,0,
2026-05-29T00:00:00.000Z,0,
2026-06-02T00:00:00.000Z,0,0.03089987486600876
2026-06-01T00:00:00.000Z,0,0.035578131675720215
2026-05-30T00:00:00.000Z,0,0.03018661728128791
2026-05-28T00:00:00.000Z,0,0.026913193985819817
2026-05-27T00:00:00.000Z,0,0.03815092518925667
2026-05-31T00:00:00.000Z,0,0.030403193086385727
2026-08-28T00:00:00.000Z,0,0.04149211477488279
2026-08-25T00:00:00.000Z,0,0.03006002865731716
2026-08-27T00:00:00.000Z,0,0.0373852513730526
2026-08-24T00:00:00.000Z,0,0.03449375927448273
2026-08-29T00:00:00.000Z,0,0.035970769822597504
2026-08-26T00:00:00.000Z,0,0.030865654349327087
2026-08-30T00:00:00.000Z,0,
2026-08-23T00:00:00.000Z,0,0.0313543863594532
2026-05-08T00:00:00.000Z,0,0.030135149136185646
2026-05-06T00:00:00.000Z,0,0.027315565384924412
2026-05-10T00:00:00.000Z,0,0.03305806219577789
2026-05-03T00:00:00.000Z,0,0.025834713131189346
2026-05-07T00:00:00.000Z,0,0.028313077986240387
2026-05-09T00:00:00.000Z,0,
2026-05-04T00:00:00.000Z,0,
2026-05-05T00:00:00.000Z,0,0.025463011115789413
2026-05-15T00:00:00.000Z,0,
2026-05-17T00:00:00.000Z,0,0.02480468200519681
2026-05-11T00:00:00.000Z,0,0.028287075459957123
2026-05-16T00:00:00.000Z,0,0.030176613479852676
2026-05-18T00:00:00.000Z,0,0.025194432586431503
2026-05-12T00:00:00.000Z,0,0.028432516381144524
2026-05-14T00:00:00.000Z,0,0.021837998181581497
2026-05-13T00:00:00.000Z,0,0.028682107105851173
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,0.024321642704308033
2026-01-13T00:00:00.000Z,0,0.024562878534197807
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,0.03491470217704773
2026-02-12T00:00:00.000Z,0,0.03042155969887972
2026-02-17T00:00:00.000Z,0,
2026-07-02T00:00:00.000Z,0,0.03293025866150856
2026-07-04T00:00:00.000Z,0,0.023940835148096085
2026-07-03T00:00:00.000Z,0,0.03356481343507767
2026-07-01T00:00:00.000Z,0,
2026-06-29T00:00:00.000Z,0,0.03295874409377575
2026-06-30T00:00:00.000Z,0,0.04129965603351593
2026-07-05T00:00:00.000Z,0,0.030688855797052383
2026-06-28T00:00:00.000Z,0,0.03521374613046646
2025-09-20T00:00:00.000Z,0,0.024305861443281174
2025-09-16T00:00:00.000Z,0,0.028819020837545395
2025-09-18T00:00:00.000Z,0,0.026259973645210266
2025-09-15T00:00:00.000Z,0,
2025-09-14T00:00:00.000Z,0,0.029783604200929403
2025-09-19T00:00:00.000Z,0,0.023271288722753525
2025-09-13T00:00:00.000Z,0,0.03167076501995325
2025-09-17T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,0.027466360479593277
2025-11-02T00:00:00.000Z,0,0.03120018169283867
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,0.026427173987030983
2025-11-01T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,0.028019919991493225
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,0.02777346409857273
2026-02-27T00:00:00.000Z,0,0.020257658325135708
2026-06-13T00:00:00.000Z,0,0.021744897589087486
2026-06-16T00:00:00.000Z,0,0.02616596594452858
2026-06-15T00:00:00.000Z,0,
2026-06-19T00:00:00.000Z,0,0.028834477066993713
2026-06-18T00:00:00.000Z,0,0.029427360743284225
2026-06-14T00:00:00.000Z,0,0.027762001380324364
2026-06-17T00:00:00.000Z,0,0.02699132449924946
2026-06-12T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,
2026-04-13T00:00:00.000Z,0,0.02955751121044159
2026-04-15T00:00:00.000Z,0,0.02744983695447445
2026-04-12T00:00:00.000Z,0,0.02796941064298153
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,0.025166919454932213
2025-12-15T00:00:00.000Z,0,0.022338632959872484
2025-12-10T00:00:00.000Z,0,
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,0.029586030170321465
2025-12-12T00:00:00.000Z,0,0.034265950322151184
2025-12-13T00:00:00.000Z,0,0.03403067588806152
2025-12-11T00:00:00.000Z,0,0.03171813488006592
2025-12-14T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,
2026-04-02T00:00:00.000Z,0,
2026-04-05T00:00:00.000Z,0,0.026665354147553444
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,0.03459949418902397
2026-04-01T00:00:00.000Z,0,0.02619609919687112
2026-04-03T00:00:00.000Z,0,0.028982849791646004
2026-04-07T00:00:00.000Z,0,
2026-06-06T00:00:00.000Z,0,0.019709267653524876
2026-06-11T00:00:00.000Z,0,0.03162732720375061
2026-06-05T00:00:00.000Z,0,0.02559646964073181
2026-06-07T00:00:00.000Z,0,0.02534572221338749
2026-06-10T00:00:00.000Z,0,0.03148869564756751
2026-06-09T00:00:00.000Z,0,0.03623650223016739
2026-06-08T00:00:00.000Z,0,0.030229220166802406
2026-06-04T00:00:00.000Z,0,
2026-07-31T00:00:00.000Z,0,0.03583240509033203
2026-08-01T00:00:00.000Z,0,
2026-08-06T00:00:00.000Z,0,
2026-07-30T00:00:00.000Z,0,0.038312479853630066
2026-08-04T00:00:00.000Z,0,0.028642257675528526
2026-08-05T00:00:00.000Z,0,0.027634344063699245
2026-08-02T00:00:00.000Z,0,0.027006275951862335
2026-08-03T00:00:00.000Z,0,0.026569103822112083
2025-09-08T00:00:00.000Z,0,
2025-09-10T00:00:00.000Z,0,0.024650229141116142
2025-09-12T00:00:00.000Z,0,0.031874723732471466
2025-09-11T00:00:00.000Z,0,
2025-09-06T00:00:00.000Z,0,0.029504716396331787
2025-09-07T00:00:00.000Z,0,0.03957144543528557
2025-09-09T00:00:00.000Z,0,0.02888158429414034
2025-09-05T00:00:00.000Z,0,
2025-10-18T00:00:00.000Z,0,
2025-10-19T00:00:00.000Z,0,0.03610693942755461
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,0.02816143911331892
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,0.02616194635629654
2025-10-21T00:00:00.000Z,0,0.027050177101045847
2025-10-17T00:00:00.000Z,0,0.030562005937099457
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,0.027090929448604584
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,0.03205947298556566
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,0.03046848624944687
2025-11-16T00:00:00.000Z,0,0.03206004574894905
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,0.0326293408870697
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,0.030814848840236664
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,0.034175071865320206
