date,feature_index,SO2
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,-5.7522232964402065E-5
2026-01-14T00:00:00.000Z,0,4.040619114675792E-5
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,2.293843135703355E-4
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-06-03T00:00:00.000Z,0,-2.905857390942401E-4
2026-05-29T00:00:00.000Z,0,2.3709308879915625E-4
2026-06-02T00:00:00.000Z,0,1.798777088879433E-4
2026-06-01T00:00:00.000Z,0,-1.8759785962174647E-4
2026-05-30T00:00:00.000Z,0,1.8235457779762024E-4
2026-05-28T00:00:00.000Z,0,7.391342205664841E-5
2026-05-27T00:00:00.000Z,0,2.4200110783567652E-4
2026-05-31T00:00:00.000Z,0,-2.827992466336582E-5
2026-04-21T00:00:00.000Z,0,2.9859567803214304E-4
2026-04-20T00:00:00.000Z,0,1.8217329034087015E-4
2026-04-19T00:00:00.000Z,0,8.592048561695265E-5
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,4.547476419247687E-4
2026-04-17T00:00:00.000Z,0,2.6690274171414785E-4
2026-04-24T00:00:00.000Z,0,-1.5745121163490694E-4
2026-04-23T00:00:00.000Z,0,4.2251716877217405E-5
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,1.461543215555139E-4
2025-12-10T00:00:00.000Z,0,5.04070267197676E-5
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,3.331376271186552E-4
2025-12-12T00:00:00.000Z,0,8.378304119105451E-5
2025-12-13T00:00:00.000Z,0,1.8993389069995223E-4
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-05-15T00:00:00.000Z,0,-1.1170948710059747E-5
2026-05-17T00:00:00.000Z,0,4.4731326731077087E-4
2026-05-11T00:00:00.000Z,0,1.67081398103619E-4
2026-05-16T00:00:00.000Z,0,1.5984660876711132E-4
2026-05-18T00:00:00.000Z,0,4.2617464714567177E-4
2026-05-12T00:00:00.000Z,0,2.739559204201214E-4
2026-05-14T00:00:00.000Z,0,-3.625387034844607E-4
2026-05-13T00:00:00.000Z,0,9.861471698968671E-5
2026-08-10T00:00:00.000Z,0,6.986844673519954E-4
2026-08-07T00:00:00.000Z,0,-8.982115559774684E-5
2026-08-09T00:00:00.000Z,0,1.0300969370291568E-4
2026-08-08T00:00:00.000Z,0,-1.6975837934296578E-4
2026-08-13T00:00:00.000Z,0,-1.2722259998554364E-4
2026-08-12T00:00:00.000Z,0,2.1417367315734737E-4
2026-08-11T00:00:00.000Z,0,8.925837901188061E-4
2026-08-14T00:00:00.000Z,0,8.266808436019346E-5
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,2.740552481554914E-4
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,2.0969151296412747E-4
2026-02-27T00:00:00.000Z,0,-4.3751253542723134E-5
2025-10-18T00:00:00.000Z,0,-2.4690624013601337E-4
2025-10-19T00:00:00.000Z,0,7.484322850359604E-8
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,-8.997527402243577E-6
2025-10-20T00:00:00.000Z,0,2.125933193989719E-5
2025-10-15T00:00:00.000Z,0,-1.2113468073948752E-4
2025-10-21T00:00:00.000Z,0,-1.6381854948122054E-6
2025-10-17T00:00:00.000Z,0,-1.3911988935433328E-4
2026-03-19T00:00:00.000Z,0,3.5973159295584384E-4
2026-03-16T00:00:00.000Z,0,3.7399477150756866E-6
2026-03-21T00:00:00.000Z,0,1.5947054407661199E-4
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,-5.675949068972841E-6
2026-03-20T00:00:00.000Z,0,4.688539556809701E-4
2026-03-17T00:00:00.000Z,0,
2026-03-18T00:00:00.000Z,0,
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,3.0680296185892075E-4
2026-01-06T00:00:00.000Z,0,2.4357384972972795E-4
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,9.229234419763088E-4
2026-04-13T00:00:00.000Z,0,4.1735696140676737E-4
2026-04-15T00:00:00.000Z,0,3.6833361809840426E-4
2026-04-12T00:00:00.000Z,0,-2.31728469771042E-4
2026-04-10T00:00:00.000Z,0,5.683500567101873E-4
2026-04-11T00:00:00.000Z,0,6.232954619918019E-4
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,4.601976309004385E-5
2026-07-09T00:00:00.000Z,0,6.0425357605709E-4
2026-07-10T00:00:00.000Z,0,3.299083800811786E-4
2026-07-07T00:00:00.000Z,0,1.4838442075415514E-4
2026-07-08T00:00:00.000Z,0,4.8580962902633473E-4
2026-07-11T00:00:00.000Z,0,6.651328749285312E-5
2026-07-13T00:00:00.000Z,0,3.271216555731371E-4
2026-07-06T00:00:00.000Z,0,
2026-07-12T00:00:00.000Z,0,-7.311693298106547E-5
2026-03-26T00:00:00.000Z,0,1.4849972922093002E-4
2026-03-30T00:00:00.000Z,0,3.8037014746805653E-4
2026-03-24T00:00:00.000Z,0,2.1536298118007835E-4
2026-03-31T00:00:00.000Z,0,9.559600039210636E-5
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,3.518418420753733E-4
2026-03-25T00:00:00.000Z,0,1.7916563592734747E-6
2026-03-29T00:00:00.000Z,0,5.394326435634866E-4
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,5.442444307846017E-4
2025-10-06T00:00:00.000Z,0,1.355992990283994E-4
2025-10-04T00:00:00.000Z,0,-6.323998923107865E-5
2025-10-03T00:00:00.000Z,0,-1.8112534394276736E-4
2025-10-05T00:00:00.000Z,0,-1.4168763300403953E-6
2025-09-29T00:00:00.000Z,0,4.54638279734354E-5
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,9.695223998278379E-4
2026-01-02T00:00:00.000Z,0,5.713543941965327E-5
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,4.651081981137395E-4
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,1.5227744006551802E-4
2026-06-22T00:00:00.000Z,0,1.6823120677145198E-4
2026-06-26T00:00:00.000Z,0,-3.089940073550679E-4
2026-06-20T00:00:00.000Z,0,4.832729318877682E-4
2026-06-21T00:00:00.000Z,0,2.963814949907828E-4
2026-06-27T00:00:00.000Z,0,3.6883249322272604E-5
2026-06-23T00:00:00.000Z,0,4.8323271084882435E-4
2026-06-24T00:00:00.000Z,0,6.518640202557435E-5
2026-06-25T00:00:00.000Z,0,1.1559710583242122E-4
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,8.827907149679959E-4
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,1.4053699487703852E-4
2025-12-21T00:00:00.000Z,0,1.5847330723772757E-4
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,4.894666490145028E-4
2025-12-22T00:00:00.000Z,0,
2025-10-11T00:00:00.000Z,0,2.2296797396847978E-5
2025-10-12T00:00:00.000Z,0,-1.4252423716243356E-4
2025-10-14T00:00:00.000Z,0,1.5582965716021135E-4
2025-10-09T00:00:00.000Z,0,-3.0533796234522015E-4
2025-10-13T00:00:00.000Z,0,-2.4626934464322403E-4
2025-10-10T00:00:00.000Z,0,6.072038013371639E-5
2025-10-07T00:00:00.000Z,0,4.212493295199238E-4
2025-10-08T00:00:00.000Z,0,1.2336579766270006E-4
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,8.168334716174286E-5
2026-03-09T00:00:00.000Z,0,
2026-03-12T00:00:00.000Z,0,1.6555486460371563E-4
2026-03-10T00:00:00.000Z,0,1.0154141637030989E-4
2026-03-13T00:00:00.000Z,0,3.3597444416955113E-4
2026-03-15T00:00:00.000Z,0,1.0980691574028849E-4
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,2.2139906650409102E-4
2026-08-28T00:00:00.000Z,0,-1.848885221988894E-5
2026-08-25T00:00:00.000Z,0,5.1264277317386586E-5
2026-08-27T00:00:00.000Z,0,-6.703610415570438E-5
2026-08-24T00:00:00.000Z,0,2.9933521364000626E-4
2026-08-29T00:00:00.000Z,0,5.160061118658632E-5
2026-08-26T00:00:00.000Z,0,1.9616166900959797E-4
2026-08-30T00:00:00.000Z,0,1.0220358399237739E-4
2026-08-23T00:00:00.000Z,0,1.594709901837632E-4
2025-11-06T00:00:00.000Z,0,4.0618986046562594E-4
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,6.648387352470309E-5
2025-11-02T00:00:00.000Z,0,1.9617895395640517E-4
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,1.4987778922659345E-4
2025-11-01T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,4.7621209887438454E-5
2026-04-02T00:00:00.000Z,0,3.2769243989605457E-4
2026-04-05T00:00:00.000Z,0,1.7927249632521125E-4
2026-04-04T00:00:00.000Z,0,-3.3227994572371244E-4
2026-04-08T00:00:00.000Z,0,3.1043870937234413E-4
2026-04-01T00:00:00.000Z,0,-1.0354073310736567E-5
2026-04-03T00:00:00.000Z,0,4.066818678438722E-5
2026-04-07T00:00:00.000Z,0,
2026-07-31T00:00:00.000Z,0,-3.0772618629271165E-5
2026-08-01T00:00:00.000Z,0,1.5723500109743327E-4
2026-08-06T00:00:00.000Z,0,-5.086123928776942E-5
2026-07-30T00:00:00.000Z,0,-2.3305041395360604E-5
2026-08-04T00:00:00.000Z,0,7.208284182524949E-5
2026-08-05T00:00:00.000Z,0,1.96571361811948E-4
2026-08-02T00:00:00.000Z,0,2.3586202587466687E-4
2026-08-03T00:00:00.000Z,0,-9.095346376852831E-5
2025-09-08T00:00:00.000Z,0,-1.5639903722330928E-5
2025-09-10T00:00:00.000Z,0,4.1344965939060785E-4
2025-09-12T00:00:00.000Z,0,1.0532473424973432E-4
2025-09-11T00:00:00.000Z,0,2.993794078065548E-4
2025-09-06T00:00:00.000Z,0,4.801850354851922E-5
2025-09-07T00:00:00.000Z,0,2.0335557110229274E-5
2025-09-09T00:00:00.000Z,0,8.168464273694553E-5
2025-09-05T00:00:00.000Z,0,5.324321364241769E-4
2026-05-02T00:00:00.000Z,0,6.598872787435539E-4
2026-04-26T00:00:00.000Z,0,1.852470959420316E-4
2026-04-25T00:00:00.000Z,0,1.568550978845451E-4
2026-05-01T00:00:00.000Z,0,
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,-1.4921047841198742E-4
2026-04-30T00:00:00.000Z,0,1.0931944173838322E-4
2026-04-28T00:00:00.000Z,0,1.9028771203011274E-4
2026-06-13T00:00:00.000Z,0,-5.366775440052152E-6
2026-06-16T00:00:00.000Z,0,1.8433234799886122E-4
2026-06-15T00:00:00.000Z,0,-1.0091557589930744E-4
2026-06-19T00:00:00.000Z,0,8.988403133116663E-4
2026-06-18T00:00:00.000Z,0,1.5953629144860315E-4
2026-06-14T00:00:00.000Z,0,-6.909820513101295E-6
2026-06-17T00:00:00.000Z,0,-1.755571720423177E-4
2026-06-12T00:00:00.000Z,0,
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,-3.306751750642434E-5
2025-12-02T00:00:00.000Z,0,
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,
2025-12-03T00:00:00.000Z,0,9.851488744061498E-5
