pollutant,abs_energy,auc,autocorr,average_power,calc_centroid,calc_max,calc_mean,calc_median,calc_min,calc_std,calc_var,dfa,distance,ecdf,ecdf_percentile,ecdf_percentile_count,ecdf_slope,entropy,fundamental_frequency,higuchi_fractal_dimension,hist_mode,human_range_energy,hurst_exponent,interq_range,kurtosis,lempel_ziv,lpcc,max_frequency,max_power_spectrum,maximum_fractal_length,mean_abs_deviation,mean_abs_diff,mean_diff,median_abs_deviation,median_abs_diff,median_diff,median_frequency,mfcc,mse,negative_turning,neighbourhood_peaks,petrosian_fractal_dimension,pk_pk_distance,positive_turning,power_bandwidth,rms,skewness,slope,spectral_centroid,spectral_decrease,spectral_distance,spectral_entropy,spectral_kurtosis,spectral_positive_turning,spectral_roll_off,spectral_roll_on,spectral_skewness,spectral_slope,spectral_spread,spectral_variation,spectrogram_mean_coeff,sum_abs_diff,wavelet_abs_mean,wavelet_energy,wavelet_entropy,wavelet_std,wavelet_var,zero_cross
CO,0.31684547333768387,10.650071452915032,2.0,0.0008680697899662572,185.0403210267541,0.0395714454352855,0.029186486346920223,0.029098601623748735,0.0197092676535248,0.003721159672047863,1.384702930487536e-05,1.1058488726339282,365.0017147705471,0.015027322404371584,0.029034371022135,182.5,104.4343620700198,0.9978327116816761,0.00273224043715847,1.90027432397557,0.028647247655317114,0.0,0.7650821483222174,0.004601138527505114,0.05952989259707886,0.1830601092896175,0.8751514696197832,0.3907103825136612,29.732691337169683,0.04298269453290928,0.0029132103957585933,0.0021899509656170746,2.0757368574403814e-05,0.0023584805118540553,0.0015457961708306989,0.00010968729232748234,0.0,14.289887265766849,1.4883118858466222,59.0,14.0,1.021322736901369,0.0198621777817607,59.0,0.34972677595628415,0.029422746550650837,0.13970853440322045,3.0232289379039412e-06,0.08395154650489825,-6.1703972873786075,-1261.6347269898647,0.8057625300663089,4.327783385612707,61.0,0.3907103825136612,0.0,1.5506259499741857,-0.042848696107549177,0.12854911704521113,0.6164401009927777,2.2323109480883373e-05,0.7993321024502322,0.0017356564164110713,0.00859875677506869,2.133406286141951,0.008397720569373808,7.878146809039097e-05,0.0
NO2,4.1393185197011053e-07,0.01166340879992514,2.0,1.1340598684112616e-09,183.30640681642546,5.864306149305776e-05,3.191972630981642e-05,3.283787961176718e-05,-1.2541297564894194e-06,1.0587370612529026e-05,1.1209241648704323e-10,0.8449181963279194,365.0000000190863,0.015027322404371584,3.154938531224616e-05,182.5,38673.001619359864,0.9993583051330969,0.00273224043715847,1.899645657716493,3.168932543076153e-05,0.0,0.7695769269526059,1.4580438346456497e-05,0.11279287336784805,0.1830601092896175,0.7422105833687768,0.44808743169398907,29.687297063261195,-2.5133394730026195,8.4490347056781e-06,7.21686507702736e-06,4.198747933203344e-08,7.1300557920039864e-06,4.83102053294715e-06,1.5457578683708562e-07,0.08196721311475409,30.17611507097968,1.2249303083572605,78.0,18.0,1.0275678387985863,5.989719124954718e-05,78.0,0.38524590163934425,3.3629768720296456e-05,-0.23862703845200775,6.425338808566812e-10,0.14073234510216662,-2.165943203692465,-1.6968623600987072,0.8481251527253304,2.3785053796402664,58.0,0.44808743169398907,0.0,0.8346582280598865,-0.028196447726867475,0.15332098850318115,0.5498374915182203,1.8217848927275346e-10,0.002634155753114986,1.3904696757960906e-06,1.4572133952600743e-05,2.164463682476992,1.4484838392282135e-05,2.1883063579743025e-10,4.0
SO2,2.145880404651447e-05,0.06263459668557136,2.0,5.879124396305335e-08,214.8524389445359,0.0007224553555715829,0.00014579110902195535,0.00013645722386475728,-0.0003625387034844607,0.00019332760971753354,3.737556467909497e-08,0.8361518856312197,365.00000840123516,0.015027322404371584,0.00014550735977536533,182.5,2352.4080038848488,0.9993583051330969,0.00273224043715847,1.9355833781980247,0.00012570862309075893,0.0,0.7360075774338042,0.00021876721538660599,0.4762540843025542,0.19672131147540983,0.3365036237521564,0.46994535519125685,16.36985109813418,-1.1980793284741837,0.00014635696615579748,0.00014971078436389914,1.078841032971444e-06,0.00011023449106536037,0.00010595007370284293,5.870222594239749e-06,0.16120218579234974,41.76835651784206,1.1244865366793648,74.0,12.0,1.026229611133446,0.0010849940590560436,74.0,0.4426229508196721,0.00024213758929366304,0.3050522061817029,3.242924651642541e-07,0.1936377893201014,-0.4848784475449144,-13.294472139271615,0.8852402873099185,1.9880004555950943,54.0,0.46994535519125685,0.0,0.455526583090517,-0.01454423203913718,0.15220165405495834,0.32095143968765394,6.223078992060991e-08,0.05464443629282319,7.977404465583816e-06,0.0002424180718844048,2.1817154911797623,0.00024221676582531575,5.969657993164563e-08,83.0
