date,feature_index,NO2
2026-07-10T00:00:00.000Z,0,2.318091037523118E-5
2026-07-07T00:00:00.000Z,0,4.4563024857779965E-5
2026-07-08T00:00:00.000Z,0,3.383242938070907E-5
2026-07-11T00:00:00.000Z,0,
2026-07-13T00:00:00.000Z,0,2.1216116238065297E-5
2026-07-06T00:00:00.000Z,0,2.7670374038279988E-5
2026-07-12T00:00:00.000Z,0,4.3375673158152495E-5
2025-10-18T00:00:00.000Z,0,3.183997068845201E-5
2025-10-19T00:00:00.000Z,0,3.7180143408477306E-5
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,2.9085589630994946E-5
2025-10-20T00:00:00.000Z,0,3.26288391079288E-5
2025-10-15T00:00:00.000Z,0,2.43519489231403E-5
2025-10-21T00:00:00.000Z,0,3.203674123142264E-5
2025-10-17T00:00:00.000Z,0,2.0453841443668352E-5
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,1.6816880815895274E-5
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,3.664578252937645E-5
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,3.098631350439973E-5
2026-01-20T00:00:00.000Z,0,2.8724402606409665E-5
2026-01-24T00:00:00.000Z,0,
2026-05-02T00:00:00.000Z,0,4.468190945772221E-5
2026-04-26T00:00:00.000Z,0,2.3937452624522848E-5
2026-04-25T00:00:00.000Z,0,1.4331179613691347E-5
2026-05-01T00:00:00.000Z,0,
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,-1.2541297564894194E-6
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,2.376843895035563E-5
2026-02-03T00:00:00.000Z,0,
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,3.3779136174416635E-5
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,3.522501174302306E-5
2026-02-02T00:00:00.000Z,0,
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,2.4784296329016797E-5
2026-04-21T00:00:00.000Z,0,5.2355740081111435E-5
2026-04-20T00:00:00.000Z,0,2.9872637696826132E-5
2026-04-19T00:00:00.000Z,0,3.4045511711155996E-5
