date,O3
2025-08-30 00:00:00+00:00,0.1155592985451221
2025-08-31 00:00:00+00:00,0.1155592985451221
2025-09-01 00:00:00+00:00,0.115130390971899
2025-09-02 00:00:00+00:00,0.1149123087525367
2025-09-03 00:00:00+00:00,0.1135951150208711
2025-09-04 00:00:00+00:00,0.1131734456866979
2025-09-05 00:00:00+00:00,0.1143265105783939
2025-09-06 00:00:00+00:00,0.1131567228585481
2025-09-07 00:00:00+00:00,0.1131318844854831
2025-09-08 00:00:00+00:00,0.1126678641885519
2025-09-09 00:00:00+00:00,0.1151411775499582
2025-09-10 00:00:00+00:00,0.116628810763359
2025-09-11 00:00:00+00:00,0.1159580145031213
2025-09-12 00:00:00+00:00,0.1146684661507606
2025-09-13 00:00:00+00:00,0.1161997430026531
2025-09-14 00:00:00+00:00,0.1162270531058311
2025-09-15 00:00:00+00:00,0.1160272359848022
2025-09-16 00:00:00+00:00,0.1153558306396007
2025-09-17 00:00:00+00:00,0.1157549116760492
2025-09-18 00:00:00+00:00,0.1133597046136856
2025-09-19 00:00:00+00:00,0.1133402697741985
2025-09-20 00:00:00+00:00,0.11388101615011689
2025-09-21 00:00:00+00:00,0.1144217625260353
2025-09-22 00:00:00+00:00,0.1143580414354801
2025-09-23 00:00:00+00:00,0.1147694382816553
2025-09-24 00:00:00+00:00,0.1128192916512489
2025-09-25 00:00:00+00:00,0.1127541493624448
2025-09-26 00:00:00+00:00,0.113798588514328
2025-09-27 00:00:00+00:00,0.1170831806957721
2025-09-28 00:00:00+00:00,0.1168895047158002
2025-09-29 00:00:00+00:00,0.1173984967172145
2025-09-30 00:00:00+00:00,0.11634701862931246
2025-10-01 00:00:00+00:00,0.1152955405414104
2025-10-02 00:00:00+00:00,0.1147751472890377
2025-10-03 00:00:00+00:00,0.1165407039225101
2025-10-04 00:00:00+00:00,0.1150482166558504
2025-10-05 00:00:00+00:00,0.1167371030896902
2025-10-06 00:00:00+00:00,0.1188317090272903
2025-10-07 00:00:00+00:00,0.1196153499186039
2025-10-08 00:00:00+00:00,0.1178427245467901
2025-10-09 00:00:00+00:00,0.1189157012850046
2025-10-10 00:00:00+00:00,0.1178296450525522
2025-10-11 00:00:00+00:00,0.1130202263593673
2025-10-12 00:00:00+00:00,0.1142536737024784
