date,NO2,CO,HCHO,SO2,O3,CH4
2025-08-23 00:00:00+00:00,4.033099143587448e-05,0.0357882487773895,0.0002168564037674,0.0002870674773021,0.116272848663908,1883.025390625
2025-08-24 00:00:00+00:00,4.033099143587448e-05,0.0357882487773895,0.0002168564037674,0.0002870674773021,0.116272848663908,1883.025390625
2025-08-25 00:00:00+00:00,4.914385741964603e-05,0.0322554917633533,0.0002433098283786,0.0005618075647913,0.1167456412857229,1878.3589111328124
2025-08-26 00:00:00+00:00,5.955956448539809e-05,0.0353587754070758,0.000233226852398,0.0001363908273615,0.1159520307273575,1873.692431640625
2025-08-27 00:00:00+00:00,4.250263737048954e-05,0.0356393416970968,0.0002190718084983,0.0002722509251768,0.1160669493855852,1869.0259521484375
2025-08-28 00:00:00+00:00,3.6768050939337205e-05,0.02872855834929,0.0002015653051438,-2.56367927451922e-05,0.1160918668364033,1864.35947265625
2025-08-29 00:00:00+00:00,1.926583249336372e-05,0.0257774070836603,8.050260868747665e-05,0.0001512093445593,0.1138266399502754,1859.6929931640625
2025-08-30 00:00:00+00:00,3.552663383743493e-05,0.0263121396096216,0.0001042115706943,8.113046075750114e-05,0.1154179737874955,1880.842529296875
2025-08-31 00:00:00+00:00,1.7997540446616988e-05,0.0240619066171348,9.032186301627723e-05,6.324671280846374e-05,0.116412545243899,1877.7535754788307
2025-09-01 00:00:00+00:00,1.969937641137442e-05,0.0270642982079432,0.0001104307542515,0.0001450345591751,0.1155951084061102,1874.6646216607862
2025-09-02 00:00:00+00:00,8.706719217061067e-06,0.0244947917138536,4.351248435341404e-05,1.403257669373874e-05,0.1146621591213977,1871.575667842742
2025-09-03 00:00:00+00:00,2.160608849435724e-05,0.0231728682007927,4.788274980621116e-05,9.207024038804582e-05,0.1136881812955394,1893.2257967862213
2025-09-04 00:00:00+00:00,1.9600056034643345e-05,0.0267197266221046,0.000116325909892,6.41014138168292e-05,0.1139314073053273,1861.8680377828664
2025-09-05 00:00:00+00:00,3.367864243547705e-05,0.0358421589163216,0.0001693543114621,0.0002509594888772,0.1140824676011547,1863.9716536632052
2025-09-06 00:00:00+00:00,2.8712899721641508e-05,0.0308748816698789,6.040895459591411e-05,0.0001243862700357,0.1128657830483985,1866.075269543544
2025-09-07 00:00:00+00:00,5.870410363554997e-05,0.0377115744420073,0.0001999040779826,0.0001235029031001,0.1133904145522551,1868.1788854238825
2025-09-08 00:00:00+00:00,6.394291328130446e-05,0.0386617854237556,0.0001836173100855,0.0001669441985127,0.1126926121386614,1870.2825013042213
2025-09-09 00:00:00+00:00,3.897021259844122e-05,0.0301116623369784,0.0001178790182705,8.095719746854968e-05,0.1149856890692855,1872.3861171845601
2025-09-10 00:00:00+00:00,3.4150286670150566e-05,0.0261382171108076,0.0001602452888234,0.0001254662966967,0.1164095024719382,1874.489733064899
2025-09-11 00:00:00+00:00,2.7358154732086625e-05,0.0264959925164779,9.955735770221727e-05,-3.715676465424512e-05,0.1159960735927928,1876.5933489452375
2025-09-12 00:00:00+00:00,3.0737517563190494e-05,0.0297970209991739,0.0001540400024058,0.0001175753698617,0.1148213197787602,1878.6969648255763
2025-09-13 00:00:00+00:00,3.5406102941840686e-05,0.029879438935926,0.0001639441239107,0.0001290820170349,0.1160340943571293,1880.800580705915
2025-09-14 00:00:00+00:00,3.3704702659495965e-05,0.0288704546401277,0.000220007386705,0.0002794845346546,0.1163583759105566,1883.1542203828885
2025-09-15 00:00:00+00:00,4.502135178492088e-05,0.0308174571643273,0.0001506294053232,9.17973963753736e-05,0.1160356284994067,1885.507860059862
2025-09-16 00:00:00+00:00,4.806940187336295e-05,0.0287467721583587,0.0003414352234138,-2.4275199393741783e-05,0.1162316257303411,1887.8614997368354
2025-09-17 00:00:00+00:00,5.668801318011794e-05,0.0349980179220438,0.00020722547704,0.0002377741782212,0.115765812270569,1890.215139413809
2025-09-18 00:00:00+00:00,2.6904395740116755e-05,0.0275344337026278,0.0001265953502661,3.7100303188708494e-05,0.1135180901848908,1892.5687790907825
2025-09-19 00:00:00+00:00,2.1124364400637923e-05,0.0251723253168165,0.0001152095114362,6.218330170006745e-05,0.1131669474822102,1894.922418767756
2025-09-20 00:00:00+00:00,2.520521224097696e-05,0.0255600169507993,0.0001192813170663,2.245234182654795e-05,0.1136715583729021,1897.4864501953125
2025-09-21 00:00:00+00:00,3.0655382832981445e-05,0.0301025353837758,0.0001233531226964,-1.7278618046971545e-05,0.114176169263594,1759.156997680664
2025-09-22 00:00:00+00:00,2.693993018042282e-05,0.0276656801541966,0.0001396859556597,0.00038927850586,0.1140659853364482,1795.0371780395508
2025-09-23 00:00:00+00:00,6.98584832813746e-05,0.039030802086927,0.0002437955829946,4.572172080984136e-05,0.1140577470262845,1830.9173583984373
