date,HCHO
2025-08-30 00:00:00+00:00,5.397449149313616e-05
2025-08-31 00:00:00+00:00,5.397449149313616e-05
2025-09-01 00:00:00+00:00,9.608294112695148e-05
2025-09-02 00:00:00+00:00,9.63078455242794e-05
2025-09-03 00:00:00+00:00,8.24443486067139e-05
2025-09-04 00:00:00+00:00,0.00016857067748787813
2025-09-05 00:00:00+00:00,0.00023859347857069224
2025-09-06 00:00:00+00:00,0.00010758225471363404
2025-09-07 00:00:00+00:00,0.00018472473976771653
2025-09-08 00:00:00+00:00,0.0001312663225689903
2025-09-09 00:00:00+00:00,0.00010471737368789036
2025-09-10 00:00:00+00:00,9.169427633537452e-05
2025-09-11 00:00:00+00:00,-1.5516349776589777e-05
2025-09-12 00:00:00+00:00,0.00016062159193097614
2025-09-13 00:00:00+00:00,0.0002195928609580733
2025-09-14 00:00:00+00:00,0.00025021738110808656
2025-09-15 00:00:00+00:00,0.00023344409783021547
2025-09-16 00:00:00+00:00,0.0002118766806233907
2025-09-17 00:00:00+00:00,7.524822649429552e-05
2025-09-18 00:00:00+00:00,0.00013344753764007086
2025-09-19 00:00:00+00:00,0.00012437813802534947
2025-09-20 00:00:00+00:00,0.00017931463526110747
2025-09-21 00:00:00+00:00,0.0002342511324968655
2025-09-22 00:00:00+00:00,0.00024201943961088543
2025-09-23 00:00:00+00:00,0.000277702394669177
2025-09-24 00:00:00+00:00,0.00019528202392393723
2025-09-25 00:00:00+00:00,0.0001874298027360055
2025-09-26 00:00:00+00:00,5.6573576330265496e-05
2025-09-27 00:00:00+00:00,5.78690833208384e-05
2025-09-28 00:00:00+00:00,6.436221036665302e-05
2025-09-29 00:00:00+00:00,6.25890570518095e-05
2025-09-30 00:00:00+00:00,2.6768300206943728e-05
2025-10-01 00:00:00+00:00,-9.052456637922049e-06
2025-10-02 00:00:00+00:00,-4.487321348278783e-05
2025-10-03 00:00:00+00:00,0.0002197078329118085
2025-10-04 00:00:00+00:00,0.0002195155520894332
2025-10-05 00:00:00+00:00,0.0002222733528469689
2025-10-06 00:00:00+00:00,8.174062250532188e-05
2025-10-07 00:00:00+00:00,0.00032139276663656346
2025-10-08 00:00:00+00:00,0.0002566566508903634
2025-10-09 00:00:00+00:00,9.20630536711542e-05
2025-10-10 00:00:00+00:00,0.00010398149970569648
2025-10-11 00:00:00+00:00,0.00018630210615810935
2025-10-12 00:00:00+00:00,7.587597610836383e-05
2025-10-13 00:00:00+00:00,9.047645562532124e-05
2025-10-14 00:00:00+00:00,0.00011235907913942356
2025-10-15 00:00:00+00:00,0.00021014629965065976
2025-10-16 00:00:00+00:00,0.0001617103880562354
2025-10-17 00:00:00+00:00,0.0001362242292088922
2025-10-18 00:00:00+00:00,0.0002541438925618422
2025-10-19 00:00:00+00:00,0.000256106006418122
2025-10-20 00:00:00+00:00,0.0002256237803521799
2025-10-21 00:00:00+00:00,0.00012296633303776616
2025-10-22 00:00:00+00:00,9.651053665038489e-05
2025-10-23 00:00:00+00:00,7.005474026300362e-05
2025-10-24 00:00:00+00:00,4.994269033886667e-05
2025-10-25 00:00:00+00:00,2.9830640414729714e-05
2025-10-26 00:00:00+00:00,0.0002818775396917772
2025-10-27 00:00:00+00:00,0.00018560505509412906
2025-10-28 00:00:00+00:00,8.933257049648091e-05
2025-10-29 00:00:00+00:00,0.00015916955574842479
2025-10-30 00:00:00+00:00,0.00022900654100036869
2025-10-31 00:00:00+00:00,9.792983473744243e-05
2025-11-01 00:00:00+00:00,6.714829396514688e-05
2025-11-02 00:00:00+00:00,4.307633207645267e-05
2025-11-03 00:00:00+00:00,8.408148778471514e-05
2025-11-04 00:00:00+00:00,0.0001250866434929776
2025-11-05 00:00:00+00:00,0.00016609179920124006
2025-11-06 00:00:00+00:00,0.00020709695490950253
2025-11-07 00:00:00+00:00,0.00014545176782121416
2025-11-08 00:00:00+00:00,0.00017340945487376302
2025-11-09 00:00:00+00:00,0.0002013671419263119
2025-11-10 00:00:00+00:00,0.00022932482897886075
2025-11-11 00:00:00+00:00,0.0002572825160314096
2025-11-12 00:00:00+00:00,0.0002852402030839585
2025-11-13 00:00:00+00:00,0.00031319789013650734
2025-11-14 00:00:00+00:00,0.0003411555771890562
2025-11-15 00:00:00+00:00,0.00036911326424160507
2025-11-16 00:00:00+00:00,0.00039707095129415393
2025-11-17 00:00:00+00:00,0.0002786991244647652
2025-11-18 00:00:00+00:00,0.0002623388390929904
2025-11-19 00:00:00+00:00,0.00026828790141735225
2025-11-20 00:00:00+00:00,0.0002742369637417141
2025-11-21 00:00:00+00:00,0.00028018602606607603
2025-11-22 00:00:00+00:00,0.0002861350883904379
2025-11-23 00:00:00+00:00,0.00029208415071479976
2025-11-24 00:00:00+00:00,0.0002980332130391616
2025-11-25 00:00:00+00:00,0.0003039822753635235
2025-11-26 00:00:00+00:00,0.0003099313376878854
2025-11-27 00:00:00+00:00,0.0003158804000122473
2025-11-28 00:00:00+00:00,0.00032182946233660914
2025-11-29 00:00:00+00:00,0.000327778524660971
2025-11-30 00:00:00+00:00,0.00033372758698533287
2025-12-01 00:00:00+00:00,0.0003396766493096948
2025-12-02 00:00:00+00:00,0.00034562571163405665
2025-12-03 00:00:00+00:00,0.0003515747739584185
2025-12-04 00:00:00+00:00,0.00034869731825892814
2025-12-05 00:00:00+00:00,0.0003458198625594377
2025-12-06 00:00:00+00:00,0.00024594991100457264
2025-12-07 00:00:00+00:00,0.00014607995944970753
2025-12-08 00:00:00+00:00,0.00020050437766864587
2025-12-09 00:00:00+00:00,0.0002549287958875842
